specific_phenotype	label	phenotype
40001_C159_PCD Oesophagus	A0040001C159.tsv	Primary Cause of Death
40001_C169 PCD_ Stomach	A0040001C169.tsv	Primary Cause of Death
40001_C189_PCD Colon	A0040001C189.tsv	Primary Cause of Death
40001_C19_PCD Neoplasm RJ	A0040001C19.tsv	Primary Cause of Death
40001_C20_PCD Neoplasm Rectum	A0040001C20.tsv	Primary Cause of Death
40001_C221_PCD IHBD Carcinoma	A0040001C221.tsv	Primary Cause of Death
40001_C259_PCD Pancreas	A0040001C259.tsv	Primary Cause of Death
40001_C349_PCD Bronchus or Lung	A0040001C349.tsv	Primary Cause of Death
40001_C439_PCD Melanoma of Skin	A0040001C439.tsv	Primary Cause of Death
40001_C459_PCD Mesothelioma	A0040001C459.tsv	Primary Cause of Death
40001_C509_PCD Breast	A0040001C509.tsv	Primary Cause of Death
40001_C56_PCD Neoplasm Ovary	A0040001C56.tsv	Primary Cause of Death
40001_C64_PCD Neoplasm Kidney	A0040001C64.tsv	Primary Cause of Death
40001_C679_PCD Bladder	A0040001C679.tsv	Primary Cause of Death
40001_C719_PCD Brain	A0040001C719.tsv	Primary Cause of Death
40001_C80_PCD Neoplasm Unspecified	A0040001C80.tsv	Primary Cause of Death
40001_C900_PCD Multiple Myeloma	A0040001C900.tsv	Primary Cause of Death
40001_C920_PCD AML	A0040001C920.tsv	Primary Cause of Death
40001_G122_PCD Motor Neuron Disease	A0040001G122.tsv	Primary Cause of Death
40001_I219_PCD Acute MI	A0040001I219.tsv	Primary Cause of Death
40001_I251_PCD Atherosclerotic CVD	A0040001I251.tsv	Primary Cause of Death
40001_I259_PCD Chronic ischemic CVD	A0040001I259.tsv	Primary Cause of Death
40001_I64_PCD Stroke Unspecified	A0040001I64.tsv	Primary Cause of Death
40001_J841_PCD IPD with Fibrosis	A0040001J841.tsv	Primary Cause of Death
A04 Other bacterial intestinal infections	A04.tsv	A00 - B99 Certain infectious and parasitic diseases
A08 Viral and other specified intestinal infections	A08.tsv	A00 - B99 Certain infectious and parasitic diseases
A09 Diarrhoea and gastro-enteritis of presumed infectious origin	A09.tsv	A00 - B99 Certain infectious and parasitic diseases
A41 Other septicaemia	A41.tsv	A00 - B99 Certain infectious and parasitic diseases
A63 Other predominantly sexually transmitted diseases, not elsewhere classified	A63.tsv	A00 - B99 Certain infectious and parasitic diseases
A87 Viral meningitis	A87.tsv	A00 - B99 Certain infectious and parasitic diseases
B02 Zoster [herpes zoster]	B02.tsv	A00 - B99 Certain infectious and parasitic diseases
B07 Viral warts	B07.tsv	A00 - B99 Certain infectious and parasitic diseases
B18 Chronic viral hepatitis	B18.tsv	A00 - B99 Certain infectious and parasitic diseases
B34 Viral infection of unspecified site	B34.tsv	A00 - B99 Certain infectious and parasitic diseases
